,T-GA_0.8,T-GA_0.9,T-GA_1.0
0,779.9,779.9,779.9
1,757.6,757.6,757.6
10,2499.2000000000007,1213.2000000000007,679.8999999999996
100,5874.1,6737.0,3216.5
101,4601.0,4530.6,3260.7000000000003
102,2103.9000000000015,690.6000000000022,682.5
103,1129.5,1242.1000000000004,329.5
104,3127.3999999999996,1070.2999999999993,675.1000000000004
105,6450.299999999999,5975.0,2857.8
106,2327.3999999999996,1795.3999999999996,749.5
107,1496.5,956.6000000000022,785.6000000000022
108,8670.1,6865.3,2642.7000000000007
109,848.8,848.8,848.8
11,1384.2999999999993,1122.199999999999,965.6000000000004
110,2426.1000000000004,1148.2000000000007,932.2999999999993
111,1593.4,1593.4,1593.4
112,3193.899999999998,1703.0999999999985,805.1999999999971
113,7415.6,3955.7000000000007,3208.9000000000005
114,3006.0,1377.2000000000007,684.5
115,2499.2000000000007,1213.2000000000007,679.8999999999996
116,1964.8999999999978,1791.2999999999993,949.7999999999993
117,1384.2999999999993,1122.199999999999,965.6000000000004
118,5352.200000000001,2617.2000000000007,1833.300000000001
119,1999.2999999999993,1624.0999999999985,1181.2999999999993
12,2327.3999999999996,1795.3999999999996,749.5
120,2510.2000000000007,1457.1000000000004,559.8999999999996
121,2636.300000000001,2217.5,890.2999999999993
122,5963.8,5082.6,2014.7000000000007
123,5027.5,6569.3,5807.6
124,3297.7000000000007,2383.0,695.5
125,2999.300000000001,2076.2000000000007,972.0
126,3331.800000000001,2140.2000000000007,1158.5
127,9576.5,4694.5,3907.4000000000005
13,3122.1000000000004,1911.4000000000015,795.3000000000011
14,1844.1000000000004,1385.699999999999,801.8999999999996
15,2426.1000000000004,1148.2000000000007,932.2999999999993
16,2002.6000000000004,1763.1000000000004,892.9000000000015
17,2393.2999999999993,2041.699999999999,907.5
18,2177.000000000002,1677.300000000003,987.9000000000015
19,2999.300000000001,2076.2000000000007,972.0
2,1593.4,1593.4,1593.4
20,2434.5,851.8000000000011,732.3000000000011
21,2103.9000000000015,690.6000000000022,682.5
22,3323.7999999999993,1357.0999999999985,735.5999999999985
23,1827.4999999999982,1956.7999999999993,1054.5
24,1999.2999999999993,1624.0999999999985,1181.2999999999993
25,3331.800000000001,2140.2000000000007,1158.5
26,3101.6000000000004,2223.5,993.5
27,1964.8999999999978,1791.2999999999993,949.7999999999993
3,2090.0,2090.0,2090.0
32,2272.800000000001,949.5000000000018,34.0
35,630.2,630.2,630.2
36,2616.8999999999996,1340.800000000001,66.20000000000073
37,2585.7000000000007,960.3999999999996,249.89999999999964
38,1671.1000000000022,1618.0000000000018,246.8000000000029
39,2840.8999999999996,1912.3999999999978,216.09999999999854
4,3914.6,3914.6,3914.6
40,4018.5,2299.5,2133.9
41,2457.4,3523.7000000000003,449.7000000000003
42,2451.2999999999993,945.2000000000007,15.200000000000728
46,3977.4000000000005,2482.5,1013.7000000000007
47,1234.2999999999993,1279.7000000000007,444.2999999999993
48,2645.999999999998,989.5999999999985,795.9999999999982
49,1544.2,1544.2,1544.2
5,5027.5,6569.3,5807.6
50,3247.7999999999993,1571.5,338.60000000000036
51,2171.5,1104.199999999999,12.899999999999636
52,3657.5,734.6000000000004,51.5
53,1014.6000000000004,1019.9000000000015,139.90000000000146
54,685.6,685.6,685.6
55,1668.3999999999996,673.1999999999989,242.09999999999854
56,2018.2000000000003,4103.6,1507.3000000000002
57,7146.999999999999,6831.4,49.19999999999891
58,2084.899999999998,1387.8999999999978,221.09999999999854
59,2544.5,872.9000000000015,115.10000000000036
6,5543.9,5869.3,4669.0
60,1413.5000000000018,2100.600000000002,746.4000000000015
61,3641.8999999999996,2771.3999999999996,2054.6
62,2277.500000000002,959.3000000000011,382.5000000000018
63,1915.2000000000007,920.6000000000022,413.6000000000022
64,1887.5,1452.5,209.70000000000073
65,836.7,836.7,836.7
66,1363.6000000000004,1055.2999999999993,163.20000000000073
67,2454.2000000000007,1952.9000000000015,404.40000000000146
68,1574.6000000000004,721.7999999999993,140.10000000000036
69,1022.1000000000004,1007.7000000000007,136.5
7,9576.5,4694.5,3907.4000000000005
70,1044.199999999999,1473.5999999999985,88.39999999999782
71,5842.8,4724.5,1486.6000000000004
72,2450.899999999998,1284.8999999999978,295.6999999999971
73,1742.9000000000015,1179.5,628.5999999999985
74,2314.2999999999993,1576.7999999999993,669.2999999999993
75,8029.0,6151.9,742.6999999999989
76,1548.8999999999996,1181.2999999999993,414.2999999999993
77,1436.5999999999985,2046.5,450.09999999999854
78,2096.199999999999,1044.0999999999985,488.2000000000007
79,6203.500000000001,7926.500000000001,818.2000000000007
8,5963.8,5082.6,2014.7000000000007
80,3875.199999999999,756.6000000000004,626.7999999999993
81,1815.3999999999996,944.6000000000004,307.7999999999993
82,1545.2000000000007,937.3000000000011,180.90000000000146
83,4718.599999999999,2712.5999999999995,1750.3999999999996
84,1538.199999999999,688.3999999999978,325.59999999999854
85,2825.0,1335.5,568.7999999999993
86,1939.5,444.60000000000036,201.10000000000036
87,5888.5,3780.1000000000004,1454.3999999999996
88,3122.1000000000004,1911.4000000000015,795.3000000000011
89,2217.300000000003,1062.9000000000015,437.1000000000022
9,3977.4000000000005,2482.5,1013.7000000000007
90,6624.1,2641.6000000000004,1038.5
91,2205.300000000001,1383.300000000001,238.40000000000146
92,2432.5,769.5,647.2000000000007
93,859.2,859.2,859.2
94,1535.199999999999,698.1000000000004,352.5
95,3189.6,3189.6,2333.7
96,2700.9000000000005,4769.3,2372.0000000000005
97,1560.0999999999985,1456.2999999999993,574.0
98,2458.2999999999993,1675.7999999999993,589.5
99,2177.000000000002,1677.300000000003,987.9000000000015
