,0,1,2,3
10,"[13943.0, 15429.0, 12141.0, 14526.0, 13262.0, 12616.0, 13888.0, 13585.0, 12837.0, 13239.0]","[11432.0, 13273.0, 0.0, 14437.0, 11398.0, 10343.0, 10852.0, 12546.0, 14396.0, 11797.0]","[11762.0, 13629.0, 10433.0, 13854.0, 10995.0, 13001.0, 11076.0, 13827.0, 11241.0, 13516.0]","[12575.0, 14159.0, 12223.0, 13179.0, 13057.0, 13033.0, 13332.0, 12114.0, 12638.0, 12357.0]"
101,"[6725.0, 9936.0, 0.0, 11705.0, 0.0, 0.0, 0.0, 7585.0, 10215.0, 7035.0]","[0.0, 7191.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7895.0, 0.0, 0.0]","[0.0, 10101.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10493.0, 0.0, 0.0]"
102,"[18389.0, 18179.0, 16796.0, 18207.0, 20828.0, 19929.0, 18298.0, 19176.0, 16782.0, 17960.0]","[18038.0, 16716.0, 14350.0, 16489.0, 16213.0, 16720.0, 18987.0, 14783.0, 16022.0, 15187.0]","[18747.0, 14923.0, 17987.0, 18114.0, 17450.0, 19095.0, 19975.0, 17351.0, 14809.0, 19187.0]","[17283.0, 17359.0, 18258.0, 18968.0, 18325.0, 17347.0, 19053.0, 17262.0, 16803.0, 17061.0]"
103,"[15112.0, 14524.0, 15349.0, 14443.0, 15408.0, 16522.0, 15707.0, 14512.0, 14786.0, 15691.0]","[13074.0, 15145.0, 13994.0, 16289.0, 13050.0, 14560.0, 13037.0, 12808.0, 15591.0, 13211.0]","[13467.0, 13580.0, 14585.0, 14150.0, 15096.0, 15271.0, 14253.0, 12372.0, 13879.0, 12980.0]","[14797.0, 15292.0, 14701.0, 14860.0, 14712.0, 14756.0, 16473.0, 14889.0, 14091.0, 14188.0]"
104,"[14480.0, 14952.0, 14988.0, 15732.0, 15616.0, 12719.0, 13413.0, 13653.0, 14466.0, 14451.0]","[11153.0, 13927.0, 10921.0, 12193.0, 11423.0, 12806.0, 12057.0, 14859.0, 0.0, 13857.0]","[14680.0, 12869.0, 12526.0, 12611.0, 13396.0, 12615.0, 12856.0, 14691.0, 13276.0, 14247.0]","[14050.0, 13593.0, 14283.0, 12990.0, 13892.0, 14576.0, 13496.0, 13203.0, 14305.0, 13331.0]"
105,"[11016.0, 12078.0, 8879.0, 0.0, 8140.0, 0.0, 9309.0, 11749.0, 10739.0, 9077.0]","[0.0, 0.0, 0.0, 0.0, 7843.0, 0.0, 0.0, 0.0, 8641.0, 0.0]","[7045.0, 0.0, 0.0, 0.0, 5949.0, 8243.0, 0.0, 0.0, 0.0, 0.0]","[11136.0, 0.0, 0.0, 0.0, 6447.0, 6084.0, 11983.0, 7765.0, 8994.0, 0.0]"
106,"[15868.0, 16692.0, 16171.0, 16354.0, 15579.0, 16563.0, 16837.0, 14994.0, 15385.0, 15256.0]","[14480.0, 13279.0, 15838.0, 11612.0, 13076.0, 13162.0, 15047.0, 14646.0, 12777.0, 12508.0]","[13590.0, 15526.0, 13992.0, 14830.0, 15365.0, 13726.0, 12919.0, 14682.0, 14067.0, 13048.0]","[14509.0, 14946.0, 15600.0, 15214.0, 15364.0, 15870.0, 15312.0, 14666.0, 15311.0, 15412.0]"
107,"[17095.0, 18010.0, 18573.0, 17710.0, 17753.0, 16982.0, 16486.0, 16740.0, 17772.0, 16476.0]","[15098.0, 14086.0, 17414.0, 14922.0, 17014.0, 16008.0, 15933.0, 17624.0, 16445.0, 14088.0]","[16358.0, 18529.0, 15347.0, 15639.0, 15661.0, 16088.0, 17887.0, 16460.0, 16310.0, 15752.0]","[17612.0, 16585.0, 16495.0, 14991.0, 16648.0, 15023.0, 18008.0, 15724.0, 17380.0, 17275.0]"
11,"[13404.0, 12806.0, 15429.0, 13614.0, 13506.0, 14031.0, 13762.0, 12725.0, 13264.0, 12643.0]","[11061.0, 12746.0, 11992.0, 11188.0, 14929.0, 12339.0, 14279.0, 10936.0, 11651.0, 10220.0]","[11678.0, 12943.0, 12185.0, 11845.0, 13620.0, 13606.0, 12754.0, 11419.0, 12445.0, 11467.0]","[12230.0, 12119.0, 12968.0, 12533.0, 13423.0, 12882.0, 12146.0, 12137.0, 12516.0, 12574.0]"
110,"[15917.0, 15935.0, 16187.0, 16120.0, 17355.0, 17458.0, 16424.0, 14928.0, 18092.0, 17489.0]","[14853.0, 14179.0, 14650.0, 15075.0, 13590.0, 13595.0, 13203.0, 14345.0, 14537.0, 13617.0]","[15636.0, 15881.0, 15291.0, 14703.0, 15708.0, 14482.0, 15805.0, 14202.0, 16693.0, 16022.0]","[15064.0, 14591.0, 16285.0, 15617.0, 15706.0, 16791.0, 15196.0, 15586.0, 16334.0, 15412.0]"
