GA_0.7,GA_0.8,GA_0.9,GA_1.0
0.0,0.0,0.0,0.0
6188.0,8701.6,8668.7,7334.6
14315.8,14231.5,14902.7,14333.1
18069.0,17232.2,17557.0,17667.0
15665.5,16010.8,15875.3,16565.8
8054.7,7979.6,10313.3,7970.3
0.0,0.0,0.0,0.0
805.6,1029.6,0.0,0.0
17439.4,17503.9,17741.9,17877.5
14117.8,14117.7,14326.6,14681.1
12576.0,12109.3,12235.8,12471.6
16518.9,17094.2,15976.8,16938.8
0.0,1646.1,0.0,732.1
14034.5,14516.0,14537.7,14033.9
16799.4,16685.3,17183.8,16683.1
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
15217.9,14222.9,14044.8,14401.3
14300.9,13648.2,13656.3,13565.2
16950.4,16938.8,16570.0,16897.3
6740.2,6947.9,6959.7,6491.5
13360.0,13847.7,13875.4,14208.5
11258.5,11899.1,11758.5,11454.8
14876.4,14811.7,15354.1,15154.8
14169.3,13775.1,14069.0,13747.7
13302.3,13062.1,13140.8,13209.7
12071.4,12349.2,12105.1,11862.2
14315.6,14463.4,14288.3,14271.0
0.0,0.0,0.0,0.0
14775.0,14743.4,14714.2,14798.2
16252.7,16350.1,16216.0,16341.0
14427.8,14146.8,14072.8,13928.1
17095.2,16886.2,16508.3,16593.6
13556.2,13039.4,13315.0,14057.2
0.0,673.0,1232.6,744.4
16575.2,17171.6,17072.1,17510.2
16310.9,16361.4,16318.9,16014.9
15601.4,15248.5,15582.5,15582.3
16187.5,16274.7,16280.0,16362.2
16682.3,16177.2,16080.3,16817.5
15247.2,14686.8,15290.7,15471.2
11921.7,12094.9,11945.7,11830.1
11988.8,11702.5,11888.5,11565.9
16032.0,15876.0,16608.9,16477.7
0.0,692.0,0.0,734.9
11089.1,10450.1,11295.4,11402.1
6566.1,5766.6,5999.3,6069.1
16082.0,16372.0,15712.0,15839.5
18015.8,18151.0,18020.5,18670.3
