GA_0.7,GA_0.8,GA_0.9,GA_1.0
17070.3,17034.9,16970.9,16837.9
16887.9,17759.4,17013.6,16807.7
17369.3,17967.9,17682.4,17522.5
15501.9,15625.5,15649.7,15908.8
16221.2,16230.9,16775.1,16197.6
16107.1,16058.2,16223.8,16002.1
14473.2,14635.0,14028.2,14304.0
17488.9,18389.4,17856.2,18295.3
17835.1,17680.9,17991.0,17585.9
17056.6,17899.2,17015.6,17674.0
16376.0,16313.9,16858.3,16078.9
13986.7,14153.5,13814.0,13893.8
16785.7,17267.4,17226.7,16947.4
12631.8,12491.6,12404.0,12542.3
15680.7,15525.5,15697.5,15569.2
699.5,0.0,0.0,890.8
9548.2,8808.1,7538.5,7113.4
7651.3,8028.9,7514.9,4361.5
18650.4,18429.5,18594.4,18318.7
18584.1,17967.3,17311.7,18345.7
14262.4,13914.8,14075.1,14120.5
16558.7,16990.0,17344.8,16652.1
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
14855.9,15068.4,14119.0,15077.9
14154.3,13928.0,14167.0,14614.3
0.0,772.8,836.6,887.5
9414.7,6865.9,8268.7,9762.9
18121.6,18052.2,17477.4,17346.5
16539.3,16297.0,16283.7,16330.7
14647.3,14336.3,14714.0,14605.6
19081.8,18587.5,18555.9,18778.1
15302.0,15600.5,15119.5,15448.0
14787.8,14782.4,14867.7,14850.2
14684.0,14648.4,14966.2,15002.7
17209.4,16952.8,17425.7,16726.5
15330.1,15377.3,15557.5,15077.3
1543.3,0.0,0.0,805.9
13001.9,13248.8,13322.3,12556.3
15203.7,15367.3,15508.0,15043.3
12392.1,12630.6,11996.1,12513.4
18524.8,17625.6,18254.3,17811.4
