,0,1,2,3
0,"[12433.0, 10677.0, 12127.0, 12403.0, 11813.0, 12318.0, 11429.0, 12003.0, 11566.0, 14062.0]","[13000.0, 0.0, 0.0, 0.0, 11528.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10140.0, 10476.0, 0.0, 7720.0, 10400.0, 10666.0, 0.0, 0.0, 11367.0, 12024.0]","[11506.0, 13236.0, 12387.0, 12004.0, 12498.0, 11783.0, 13180.0, 8654.0, 11411.0, 12491.0]"
10,"[11539.0, 11866.0, 10748.0, 10153.0, 13388.0, 10071.0, 11463.0, 13092.0, 10240.0, 11885.0]","[10332.0, 9997.0, 10504.0, 11300.0, 9895.0, 0.0, 0.0, 0.0, 0.0, 10294.0]","[12339.0, 12368.0, 0.0, 12747.0, 9933.0, 10628.0, 0.0, 9940.0, 12221.0, 0.0]","[12019.0, 11462.0, 11816.0, 12833.0, 12387.0, 12148.0, 0.0, 13011.0, 9832.0, 0.0]"
101,"[20150.0, 16042.0, 17597.0, 18365.0, 19423.0, 17459.0, 17376.0, 18467.0, 18491.0, 16123.0]","[17035.0, 17492.0, 13611.0, 12760.0, 13767.0, 18698.0, 14280.0, 14231.0, 16511.0, 14980.0]","[18176.0, 16023.0, 15521.0, 14368.0, 14112.0, 17946.0, 15018.0, 17274.0, 19475.0, 14343.0]","[17454.0, 17626.0, 14700.0, 18496.0, 16688.0, 19700.0, 18487.0, 17999.0, 16391.0, 17522.0]"
102,"[16721.0, 18370.0, 17134.0, 18411.0, 18861.0, 18553.0, 16995.0, 17399.0, 19429.0, 17641.0]","[15144.0, 15275.0, 14080.0, 16300.0, 14626.0, 17528.0, 13828.0, 15562.0, 15836.0, 16712.0]","[17155.0, 16661.0, 15882.0, 18560.0, 17392.0, 14406.0, 17175.0, 14809.0, 15381.0, 15158.0]","[17055.0, 16649.0, 16821.0, 18016.0, 16518.0, 17675.0, 18018.0, 16351.0, 16862.0, 16059.0]"
104,"[13172.0, 14944.0, 12119.0, 11298.0, 13206.0, 11241.0, 12682.0, 11903.0, 13661.0, 14057.0]","[12013.0, 0.0, 9774.0, 0.0, 12347.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[11988.0, 12492.0, 11884.0, 0.0, 12565.0, 12834.0, 12377.0, 0.0, 10859.0, 11131.0]","[12372.0, 12112.0, 0.0, 12953.0, 12969.0, 11351.0, 12767.0, 13021.0, 13500.0, 13915.0]"
105,"[20808.0, 18696.0, 18811.0, 21040.0, 18943.0, 21009.0, 20386.0, 20334.0, 21691.0, 20048.0]","[16649.0, 17175.0, 16139.0, 17462.0, 16870.0, 19782.0, 16182.0, 19684.0, 16518.0, 14535.0]","[15167.0, 17830.0, 20557.0, 16298.0, 15093.0, 15861.0, 15037.0, 15155.0, 17933.0, 16867.0]","[20371.0, 18197.0, 18255.0, 17455.0, 19267.0, 20777.0, 20320.0, 20189.0, 19085.0, 19053.0]"
106,"[15426.0, 14338.0, 15639.0, 14998.0, 16626.0, 15638.0, 14927.0, 15772.0, 15358.0, 15776.0]","[14145.0, 15506.0, 13724.0, 12980.0, 14372.0, 14256.0, 12801.0, 0.0, 13304.0, 12460.0]","[11427.0, 14570.0, 13782.0, 14301.0, 13487.0, 15169.0, 13357.0, 14528.0, 14718.0, 13579.0]","[14448.0, 14215.0, 15332.0, 15460.0, 15645.0, 15945.0, 14731.0, 15650.0, 15223.0, 15682.0]"
107,"[17950.0, 15532.0, 15217.0, 14296.0, 17330.0, 16724.0, 16761.0, 17534.0, 15531.0, 15954.0]","[13973.0, 14682.0, 14372.0, 13121.0, 14525.0, 14577.0, 13686.0, 15332.0, 16120.0, 14412.0]","[13444.0, 13644.0, 16297.0, 13849.0, 15159.0, 14837.0, 12844.0, 12994.0, 15832.0, 14173.0]","[15563.0, 15139.0, 15884.0, 16654.0, 16170.0, 16142.0, 16477.0, 16178.0, 15760.0, 14840.0]"
108,"[14153.0, 14772.0, 15169.0, 14079.0, 16018.0, 16506.0, 14243.0, 13960.0, 17302.0, 14710.0]","[0.0, 0.0, 13113.0, 0.0, 12354.0, 15516.0, 13909.0, 12031.0, 14339.0, 0.0]","[13666.0, 13135.0, 13819.0, 0.0, 15308.0, 12005.0, 14539.0, 14404.0, 12486.0, 0.0]","[14167.0, 14662.0, 15286.0, 14108.0, 14348.0, 14239.0, 14663.0, 14847.0, 14002.0, 16622.0]"
109,"[15085.0, 16133.0, 16587.0, 15390.0, 15840.0, 15365.0, 16162.0, 18566.0, 16721.0, 15463.0]","[13937.0, 16076.0, 13589.0, 14797.0, 12278.0, 15275.0, 14406.0, 14909.0, 0.0, 11650.0]","[14682.0, 13504.0, 16820.0, 13330.0, 13506.0, 15679.0, 14363.0, 15116.0, 12780.0, 14236.0]","[15898.0, 14774.0, 16008.0, 16240.0, 15291.0, 15617.0, 16930.0, 16054.0, 16843.0, 14658.0]"
