,T-GA_0.7,T-GA_0.8,T-GA_0.9
1,2655.5999999999985,1527.5999999999985,768.0999999999985
10,5187.0,4225.7,3687.3999999999996
100,1773.3999999999996,854.1999999999989,406.59999999999854
101,3267.6000000000004,2121.0,633.6000000000004
102,2142.5999999999985,2381.699999999999,793.5
105,2562.2999999999993,1898.3999999999996,841.7999999999993
107,1369.199999999999,1382.8999999999996,826.7999999999993
108,2014.5,1245.3999999999996,606.7999999999993
11,7233.299999999999,3130.2999999999993,3387.999999999999
111,1751.0999999999985,1222.7999999999993,625.0999999999985
112,2248.7000000000007,1029.5,619.5
113,7233.299999999999,3130.2999999999993,3387.999999999999
114,1724.800000000001,1636.7000000000007,783.6000000000004
115,1871.2000000000007,1887.0,768.4000000000015
116,2145.000000000002,1721.2000000000007,763.4000000000015
12,5350.8,3186.6000000000004,2440.5
120,1976.1000000000022,860.6000000000022,803.6000000000022
121,3017.2999999999993,2552.8999999999996,706.1999999999989
122,1759.199999999999,672.7999999999993,688.2999999999993
123,1985.5,2400.0999999999985,1055.699999999997
126,2414.699999999999,2154.399999999998,856.0999999999985
127,2774.5,2497.1000000000004,1334.2000000000007
128,1498.2999999999993,1342.3999999999996,738.5999999999985
129,1736.2000000000007,1377.6000000000004,708.4000000000015
13,2197.8999999999996,3211.699999999999,1013.2999999999993
130,3206.2000000000007,1965.800000000001,957.4000000000015
131,2560.5,1443.2000000000007,875.8000000000011
132,4095.7,5141.4,3639.8999999999996
133,2613.5999999999985,1025.2999999999993,798.7999999999993
134,3260.0999999999985,2143.2999999999993,686.8999999999978
136,5350.8,3186.6000000000004,2440.5
137,2451.199999999999,1653.199999999999,874.6999999999989
138,2353.800000000001,2326.500000000002,1290.4000000000015
14,6417.3,1099.2999999999993,740.5
140,2248.2999999999993,1201.2999999999993,758.2999999999993
15,3017.2999999999993,2552.8999999999996,706.1999999999989
16,1759.199999999999,672.7999999999993,688.2999999999993
17,1736.2000000000007,1377.6000000000004,708.4000000000015
18,2248.2999999999993,1201.2999999999993,758.2999999999993
19,2076.7999999999993,1340.7999999999993,836.3999999999996
2,2261.0,1217.7000000000007,285.5
20,1985.5,2400.0999999999985,1055.699999999997
21,2560.5,1443.2000000000007,875.8000000000011
22,1369.199999999999,1382.8999999999996,826.7999999999993
23,3260.0999999999985,2143.2999999999993,686.8999999999978
24,1318.699999999999,1706.7999999999993,1046.8999999999996
25,2353.800000000001,2326.500000000002,1290.4000000000015
26,2774.5,2497.1000000000004,1334.2000000000007
27,3206.2000000000007,1965.800000000001,957.4000000000015
28,3452.2999999999993,1171.5,840.2000000000007
29,1834.0000000000018,1584.0,767.4000000000015
3,2061.5,1415.5,250.89999999999964
30,2451.199999999999,1653.199999999999,874.6999999999989
31,2924.6000000000004,2033.0,987.7000000000007
33,2655.5999999999985,1527.5999999999985,768.0999999999985
34,2261.0,1217.7000000000007,285.5
35,2061.5,1415.5,250.89999999999964
36,1672.5,928.6999999999989,141.39999999999964
37,2248.6000000000004,616.5,41.100000000000364
48,1714.6000000000004,822.6000000000004,13.200000000000728
49,1671.5999999999985,607.3999999999996,17.099999999998545
50,1343.0,1072.3999999999996,104.69999999999891
52,2108.7000000000007,581.7000000000007,148.09999999999854
53,1714.1000000000004,892.1000000000004,242.0
54,5190.1,4000.0,328.39999999999964
56,3237.4999999999995,1956.9999999999995,607.2999999999993
57,894.3999999999996,1011.7999999999993,252.79999999999927
58,1888.6000000000004,1704.2999999999993,132.10000000000036
59,1499.1000000000004,953.9000000000015,224.0
60,719.9000000000015,780.9000000000015,287.0
61,1522.7000000000007,892.3999999999996,300.89999999999964
62,3126.6000000000004,2193.300000000001,136.20000000000073
63,1724.8999999999996,1567.6000000000004,342.60000000000036
66,2316.2999999999993,948.0999999999985,362.39999999999964
67,3377.0,1300.6000000000004,270.10000000000036
68,2398.6000000000004,1738.8999999999996,322.7000000000007
69,1903.3999999999996,1548.5,393.7000000000007
70,1526.1000000000004,385.5,107.0
73,3579.8999999999996,3962.2,3566.3999999999996
74,5187.0,4225.7,3687.3999999999996
76,2286.199999999999,1518.3999999999978,680.0
78,1995.7999999999993,669.7999999999993,345.89999999999964
79,3610.8999999999996,1368.8999999999996,322.7999999999993
80,2673.5,625.8000000000011,597.1000000000004
81,1412.4000000000015,1699.800000000001,628.7000000000007
82,4026.3999999999996,1398.6999999999998,2384.0
83,1646.5,1000.3000000000011,750.4000000000015
84,5920.900000000001,4384.3,1251.7000000000007
85,1091.3999999999996,1024.800000000001,337.3000000000011
86,1834.0000000000018,1584.0,767.4000000000015
87,1374.6000000000022,1415.7000000000007,730.7000000000007
89,2343.2000000000007,483.0,395.0
9,4095.7,5141.4,3639.8999999999996
90,3894.2000000000007,1003.5,368.7999999999993
91,1585.300000000001,1077.6000000000004,529.8999999999996
92,2120.2999999999993,491.59999999999854,388.5
93,1593.5000000000018,1364.800000000001,523.4000000000015
94,1318.699999999999,1706.7999999999993,1046.8999999999996
95,3524.8999999999996,1206.2999999999993,438.7999999999993
96,1594.8999999999996,1146.3999999999996,544.7999999999993
97,1584.2000000000007,1614.2000000000007,467.0
98,4983.6,5822.700000000001,1781.9000000000015
99,3452.2999999999993,1171.5,840.2000000000007
