GA_0.7,GA_0.8,GA_0.9,GA_1.0
11427.1,11367.6,11530.6,11314.0
6231.4,5806.3,7196.4,6365.2
14687.4,14388.0,14178.6,14108.1
8414.8,8744.6,7745.4,8305.6
16372.2,15650.1,16071.5,16084.8
19494.0,19517.7,19932.0,20065.8
16482.6,16190.0,16363.0,15732.1
16042.8,16560.3,16127.2,16427.8
17138.7,16644.1,16822.0,16165.6
16645.4,17022.7,16573.8,17064.2
1025.1,1192.2,0.0,0.0
17445.7,16666.8,17221.4,17285.3
14601.6,14315.8,14234.5,14328.3
13446.9,13643.2,12839.9,13130.6
14806.2,14400.3,14343.2,14538.7
15146.5,15778.2,15594.3,15341.4
14193.4,13874.6,14094.7,13702.6
16603.5,17160.9,16467.8,16887.0
15587.1,16263.0,15151.8,15569.4
15500.2,15232.7,14982.7,15152.3
14868.3,15280.9,14747.1,14909.8
12839.0,12662.3,12484.5,13046.0
18069.7,17578.8,17543.9,17509.0
7737.7,8093.4,7483.8,4704.1
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
820.9,1791.1,0.0,2265.9
13317.9,13431.4,13412.7,13128.7
16523.3,16463.6,16555.8,15933.8
13685.1,12501.4,13077.0,12716.0
0.0,0.0,2517.0,493.8
16766.6,16588.3,16873.4,16380.5
0.0,1489.7,0.0,0.0
6060.2,5087.0,8444.3,5773.3
18781.8,17857.7,18469.6,17905.3
14163.4,14025.8,13941.7,13861.2
16909.4,16512.5,17363.1,16917.7
0.0,0.0,0.0,0.0
0.0,0.0,1471.3,817.4
4967.6,4428.1,7389.8,5911.9
0.0,0.0,1002.0,0.0
15778.1,15336.2,15808.7,15641.2
0.0,0.0,0.0,0.0
12941.4,12745.4,12804.0,12789.3
14272.8,14050.3,14415.1,13847.0
0.0,0.0,0.0,0.0
15781.3,16325.1,15781.4,15985.8
16453.4,16051.3,16677.0,15919.0
19659.4,19456.3,19116.4,19324.6
16087.4,16300.3,16001.2,16321.4
7997.8,8294.4,8745.0,7580.5
